winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
drmario,jigglypuff,1027,691,1718,59.78,40.22
minmin,ganondorf,1235,831,2066,59.78,40.22
bayonetta,joker,3360,2262,5622,59.77,40.23
inkling,random,499,336,835,59.76,40.24
steve,corrin,1764,1188,2952,59.76,40.24
simon,darksamus,144,97,241,59.75,40.25
palutena,mewtwo,1647,1110,2757,59.74,40.26
iceclimbers,mario,997,672,1669,59.74,40.26
miigunner,lucario,212,143,355,59.72,40.28
robin,sephiroth,1036,699,1735,59.71,40.29
rob,darkpit,1387,936,2323,59.71,40.29
miigunner,rosalina,160,108,268,59.70,40.30
minmin,captainfalcon,2494,1684,4178,59.69,40.31
bayonetta,kingkrool,1879,1269,3148,59.69,40.31
iceclimbers,roy,672,454,1126,59.68,40.32
olimar,lucina,589,398,987,59.68,40.32
snake,pikachu,3454,2335,5789,59.66,40.34
darksamus,link,994,672,1666,59.66,40.34
ken,fox,1118,756,1874,59.66,40.34
miigunner,fox,519,351,870,59.66,40.34
rob,pokemontrainer,4787,3238,8025,59.65,40.35
snake,captainfalcon,4312,2919,7231,59.63,40.37
iceclimbers,jigglypuff,840,569,1409,59.62,40.38
steve,younglink,1970,1335,3305,59.61,40.39
isabelle,kirby,844,572,1416,59.60,40.40
pit,lucina,739,501,1240,59.60,40.40
luigi,joker,4754,3223,7977,59.60,40.40
snake,lucario,1075,729,1804,59.59,40.41
ken,sora,808,548,1356,59.59,40.41
toonlink,marth,547,371,918,59.59,40.41
ness,jigglypuff,3640,2469,6109,59.58,40.42
kingdedede,lucario,750,509,1259,59.57,40.43
minmin,link,2077,1410,3487,59.56,40.44
wiifittrainer,kingkrool,1864,1266,3130,59.55,40.45
wiifittrainer,corrin,814,553,1367,59.55,40.45
simon,sephiroth,259,176,435,59.54,40.46
ike,joker,3298,2242,5540,59.53,40.47
simon,mewtwo,150,102,252,59.52,40.48
rob,sheik,1272,865,2137,59.52,40.48
ryu,littlemac,869,591,1460,59.52,40.48
darksamus,shulk,463,315,778,59.51,40.49
terry,pit,746,508,1254,59.49,40.51
bowserjr,littlemac,1264,861,2125,59.48,40.52
megaman,mrgameandwatch,1211,825,2036,59.48,40.52
iceclimbers,diddykong,578,394,972,59.47,40.53
steve,mario,3629,2475,6104,59.45,40.55
simon,mrgameandwatch,406,277,683,59.44,40.56
bowserjr,sheik,400,273,673,59.44,40.56
bowserjr,joker,2306,1574,3880,59.43,40.57
miibrawler,sheik,394,269,663,59.43,40.57
kazuya,fox,2045,1397,3442,59.41,40.59
toonlink,jigglypuff,1193,815,2008,59.41,40.59
wario,sheik,521,356,877,59.41,40.59
robin,marth,499,341,840,59.40,40.60
bayonetta,mewtwo,815,557,1372,59.40,40.60
sonic,byleth,1656,1132,2788,59.40,40.60
metaknight,ganondorf,591,404,995,59.40,40.60
pikachu,sheik,604,413,1017,59.39,40.61
banjokazooie,byleth,1525,1043,2568,59.38,40.62
steve,toonlink,1579,1080,2659,59.38,40.62
steve,miigunner,1032,706,1738,59.38,40.62
bayonetta,darkpit,836,572,1408,59.38,40.63
kingdedede,ganondorf,2468,1689,4157,59.37,40.63
snake,iceclimbers,892,611,1503,59.35,40.65
richter,mario,1016,696,1712,59.35,40.65
donkeykong,lucario,870,596,1466,59.35,40.65
megaman,kirby,667,457,1124,59.34,40.66
simon,duckhunt,162,111,273,59.34,40.66
bayonetta,rosalina,537,368,905,59.34,40.66
kingdedede,lucas,1821,1248,3069,59.34,40.66
diddykong,lucina,1588,1089,2677,59.32,40.68
pichu,lucina,1376,944,2320,59.31,40.69
isabelle,marth,481,330,811,59.31,40.69
luigi,ganondorf,2098,1440,3538,59.30,40.70
snake,sephiroth,2565,1762,4327,59.28,40.72
banjokazooie,sephiroth,1377,946,2323,59.28,40.72
samus,lucina,2120,1457,3577,59.27,40.73
steve,sephiroth,3812,2620,6432,59.27,40.73
pokemontrainer,lucina,3254,2237,5491,59.26,40.74
pacman,diddykong,1264,869,2133,59.26,40.74
kazuya,miibrawler,1300,894,2194,59.25,40.75
kingkrool,random,695,478,1173,59.25,40.75
luigi,pyra,3428,2358,5786,59.25,40.75
palutena,sheik,1055,726,1781,59.24,40.76
ness,falco,3735,2571,6306,59.23,40.77
terry,wolf,3758,2587,6345,59.23,40.77
incineroar,lucina,1929,1328,3257,59.23,40.77
metaknight,byleth,909,626,1535,59.22,40.78
miigunner,falco,694,478,1172,59.22,40.78
piranhaplant,marth,495,341,836,59.21,40.79
